Periodos,PIB,PIB VA,PIB VT
2010/03,15031765.74,4.834478973,0.934722238
2010/04,15148037.52,3.921993817,0.773507081
2011/01,15263122.53,3.627483588,0.759735459
2011/02,15345376.72,3.040545118,0.538907984
2011/03,15643016.57,4.066394066,1.939606078
2011/04,15745613.21,3.944905008,0.655862201
2012/01,15847710.67,3.830069077,0.64841843
2012/02,15986339.41,4.176910785,0.874755653
2012/03,16076614.91,2.771833265,0.564704021
2012/04,16214095.92,2.975322151,0.85516145
2013/01,16254185.62,2.564881192,0.247252087
2013/02,16163826.29,1.110240894,-0.555914211
2013/03,16315239.41,1.484295668,0.936740595
2013/04,16406200.64,1.184800683,0.557523132
2014/01,16519513.51,1.632366602,0.690670992
2014/02,16727559.41,3.487621745,1.259394807
2014/03,16789222.65,2.905156488,0.368632608
2014/04,16964036.45,3.400152274,1.0412263
2015/01,17056828.13,3.252605601,0.546990609
2015/02,17254571.19,3.150559903,1.159319021
2015/03,17484269.08,4.1398369,1.33122922
2015/04,17423463.43,2.708240936,-0.347773492
2016/01,17523708.83,2.737207026,0.575347177
2016/02,17597717.95,1.988729604,0.422337079
2016/03,17786595.2,1.729132143,1.07330533
2016/04,17968912.89,3.130545571,1.025028629
2017/01,18054660.17,3.029902763,0.47719793
2017/02,18112306.58,2.924178165,0.319288246
2017/03,18069342.02,1.589662432,-0.237211971
2017/04,18296390.76,1.822468994,1.256541256
2018/01,18501366.1,2.474186325,1.12030482
2018/02,18499524.67,2.137872861,-0.009952986
2018/03,18586335.19,2.86116213,0.469258137
2018/04,18529115.02,1.271968148,-0.307861506
2019/01,18544534.97,0.233327966,0.083220089
2019/02,18472927.48,-0.143772264,-0.386137938
2019/03,18567967.19,-0.098825274,0.514481063
2019/04,18399150.73,-0.701405794,-0.909181168
2020/01,18231130.69,-1.690008799,-0.913194542
2020/02,14976855.72,-18.92538021,-17.85009953
2020/03,16997528.18,-8.457786434,13.49196722
2020/04,17588473.95,-4.406055423,3.476657102
2021/01,17722917.99,-2.787609359,0.764387138
2021/02,17907743.98,19.56944977,1.042864322
2021/03,17782676.6,4.619191729,-0.69839828
2021/04,17786343.96,1.124998173,0.020623247
2022/01,,1.556944453,0.880857792
